#  E (cm^-1)      g   stage
      0.000       1       0
  21850.404       1       0
  21870.465       3       0
  21911.178       5       0
  35051.266       3       0
  41197.402       3       0
  43503.332       1       0
  46403.066       5       0
  47841.117       1       0
  47844.414       3       0
  47851.160       5       0
  47957.027       5       0
  47957.047       7       0
  47957.059       3       0
  49346.730       3       0
  51872.527       3       0
  52556.207       1       0
  53134.641       5       0
  54192.258       7       0
  54192.293       5       0
  54192.336       3       0
  54248.809       1       0
  54250.086       3       0
  54252.727       5       0
  54676.438       7       0
  54676.652       5       0
  54676.699       7       0
  54676.754       9       0
  54706.535       3       0
  55891.801       3       0
  56186.871       1       0
  56308.383       5       0
  56968.219       7       0
  56968.246       5       0
  56968.270       3       0
  57017.078       1       0
  57017.723       3       0
  57019.023       5       0
  57204.164       7       0
  57204.227       5       0
  57204.266       7       0
  57204.305       9       0
  57214.992       3       0
  57262.762       9       0
  57262.762       7       0
  57262.762       9       0
  57812.770       1       0
  57833.398       3       0
  57855.215       3       0
  57873.941       5       0
  58009.410       1       0
  58023.246       5       0
  58442.844       7       0
  58442.852       5       0
  58442.875       3       0
  58476.688       1       0
  58477.020       3       0
  58477.762       5       0
  58575.477       7       0
  58575.527       5       0
  58575.527       7       0
  58575.527       9       0
  58580.230       3       0
  58610.797       9       0
  58610.797       7       0
  58610.797       9       0
  58610.797      11       0
  58962.738       3       0
  59041.020       5       0
  59053.520       1       0
  59318.766       7       0
  59318.773       5       0
  59318.793       3       0
  59342.512       1       0
  59342.512       3       0
  59342.512       5       0
  59400.762       5       0
  59400.762       7       0
  59400.762       9       0
  59400.762       7       0
  59403.180       3       0
  59423.535       9       0
  59423.535       7       0
  59423.535       9       0
  59423.535      11       0
  59649.148       3       0
  59689.992       5       0
  59707.109       1       0
  59881.168       7       0
  59881.180       5       0
  59881.195       3       0
  59897.859       1       0
  59897.859       3       0
  59897.859       5       0
  59935.371       5       0
  59935.371       7       0
  59935.371       9       0
  59935.371       7       0
  59936.629       3       0
  59950.871       9       0
  59950.871       9       0
  59950.871      11       0
  60104.000       3       0
  60127.238       5       0
  60143.230       1       0
  60263.582       3       0
  60263.582       5       0
  60263.582       7       0
  60301.281       5       0
  60301.281       7       0
  60301.281       9       0
  60301.281       7       0
  60302.301       3       0
  60312.316       7       0
  60420.871       3       0
  60435.098       5       0
  60535.340       3       0
  60535.340       5       0
  60535.340       7       0
  60562.637       5       0
  60562.637       7       0
  60562.637       9       0
  60562.637       7       0
  60563.352       3       0
  60650.461       3       0
  60659.691       5       0
  60735.379       3       0
  60735.379       5       0
  60735.379       7       0
  60755.766       5       0
  60755.766       7       0
  60755.766       9       0
  60755.766       7       0
  60756.129       3       0
  60822.172       3       0
  60828.410       5       0
  60886.828       3       0
  60886.828       5       0
  60886.828       7       0
  60902.500       5       0
  60902.500       7       0
  60902.500       9       0
  60902.500       7       0
  60902.930       3       0
  60953.898       3       0
  60958.309       5       0
  61004.328       3       0
  61004.328       5       0
  61004.328       7       0
  61016.602       5       0
  61016.602       7       0
  61016.602       9       0
  61016.602       7       0
  61016.930       3       0
  61060.500       5       0
  61097.270       3       0
  61097.270       5       0
  61097.270       7       0
  61107.051       5       0
  61107.051       7       0
  61107.051       9       0
  61107.051       7       0
  61107.340       3       0
  61142.102       5       0
  61179.969       5       0
  61179.969       7       0
  61179.969       9       0
  61179.969       7       0
  61180.238       3       0
  61208.199       5       0
  61239.828       3       0
  61262.898       5       0
  61289.191       3       0
  61308.398       5       0
  61330.551       3       0
  61346.699       5       0
  61365.551       3       0
  61379.199       5       0
  61395.430       3       0
  61407.000       5       0
  61421.141       3       0
  61432.000       5       0
  61443.410       3       0
  61452.000       5       0
  61462.820       3       0
  61471.000       5       0
  61479.871       3       0
  61487.000       5       0
  61494.898       3       0
  61508.238       3       0
  61520.121       3       0
  61530.730       3       0
  61540.262       3       0
  61548.809       3       0
  61556.629       3       0
  61563.680       3       0
  61570.109       3       0
  61575.988       3       0
  61581.340       3       0
  61586.328       3       0
  61590.820       3       0
  61595.020       3       0
  61598.871       3       0
  61602.441       3       0
  61605.738       3       0
  61608.859       3       0
  61611.672       3       0
  61614.398       3       0
  61616.879       3       0
  61619.230       3       0
  61621.430       3       0
  61623.488       3       0
  61625.449       3       0
  61627.172       3       0
  61628.941       3       0
  61630.602       3       0
  61631.988       3       0
  61633.430       3       0
  61634.871       3       0
  61636.199       3       0
  61637.270       3       0
  61638.480       3       0
  61671.051       2       1
  97340.359       2       1
  97431.930       4       1
 131476.000       2       1
 133161.234       6       1
 133162.109       4       1
 142290.547       2       1
 142321.078       4       1
 154461.562       2       1
 154981.641       6       1
 154982.156       4       1
 155470.688       6       1
 155470.797       8       1
 159126.172       2       1
 159139.969       4       1
 164867.797       2       1
 165090.750       6       1
 165091.047       4       1
 165360.906       6       1
 165360.969       8       1
 165376.703       8       1
 165376.703      10       1
 167293.391       2       1
 167300.766       4       1
 170455.375       2       1
 170571.078       6       1
 170571.250       4       1
 170733.375       6       1
 170733.406       8       1
 170743.094       8       1
 170743.094      10       1
 170745.016      10       1
 170745.016      12       1
 171874.625       2       1
 171879.047       4       1
 173800.250       2       1
 173868.094       6       1
 173868.219       4       1
 173972.516       6       1
 173972.516       8       1
 173978.844       8       1
 173978.844      10       1
 173980.109      10       1
 173980.109      12       1
 173980.500      10       1
 174701.297       2       1
 174704.141       4       1
 175960.406       2       1
 176003.734       6       1
 176003.797       4       1
 176074.594       6       1
 176074.594       8       1
 176078.938       8       1
 176078.938      10       1
 176079.797      10       1
 176079.797      12       1
 176080.078      10       1
 176567.844       2       1
 176569.766       4       1
 177436.047       2       1
 177465.438       6       1
 177465.484       4       1
 177515.656       6       1
 177515.656       8       1
 177518.719       8       1
 177518.719      10       1
 177519.328      10       1
 177519.328      12       1
 177519.562      10       1
 177864.750       2       1
 177866.156       4       1
 178509.500       6       1
 178509.531       4       1
 178546.297       6       1
 178546.297       8       1
 178548.594       8       1
 178548.594      10       1
 178549.094      10       1
 178549.094      12       1
 178549.188      10       1
 179310.562       8       1
 182938.688       1       2
